name,rating,genre,score,director,writer,star,runtime
Farewell My Concubine,R,Drama,8.1,Kaige Chen,Pik-Wah Lee,Leslie Cheung,171
Farewell to the King,PG-13,Action,6.3,John Milius,Pierre Schoendoerffer,Nick Nolte,117
"Farewell, My Queen",R,Drama,6.2,Benoît Jacquot,Benoît Jacquot,Léa Seydoux,100
Fargo,R,Crime,8.1,Joel Coen,Ethan Coen,William H. Macy,98
Farinelli,R,Biography,6.8,Gérard Corbiau,Andrée Corbiau,Stefano Dionisi,111
Fast & Furious,PG-13,Action,6.6,Justin Lin,Chris Morgan,Vin Diesel,107
Fast & Furious 6,PG-13,Action,7,Justin Lin,Chris Morgan,Vin Diesel,130
Fast & Furious Presents: Hobbs & Shaw,PG-13,Action,6.4,David Leitch,Chris Morgan,Dwayne Johnson,137
Fast Five,PG-13,Action,7.3,Justin Lin,Chris Morgan,Vin Diesel,130
Fast Food,PG-13,Comedy,4.5,Michael A. Simpson,Scott B. Sowers,Clark Brandon,92
Fast Talking,Unrated,Drama,6.9,Ken Cameron,Ken Cameron,Steve Bisley,95
Fast Times at Ridgemont High,R,Comedy,7.2,Amy Heckerling,Cameron Crowe,Sean Penn,90
Faster,R,Action,6.4,George Tillman Jr.,Tony Gayton,Dwayne Johnson,98
Fat Albert,PG,Comedy,4.3,Joel Zwick,Bill Cosby,Kenan Thompson,93
Fat Girl,Unrated,Drama,6.5,Catherine Breillat,Catherine Breillat,Anaïs Reboux,86
Fat Man and Little Boy,PG-13,Biography,6.5,Roland Joffé,Bruce Robinson,Paul Newman,127
Fatal Attraction,R,Drama,6.9,Adrian Lyne,James Dearden,Michael Douglas,119
Fatal Beauty,R,Action,5.4,Tom Holland,Bill Svanoe,Whoopi Goldberg,104
Fatal Instinct,PG-13,Comedy,5.8,Carl Reiner,David O'Malley,Armand Assante,91
Father Figures,R,Comedy,5.5,Lawrence Sher,Justin Malen,Owen Wilson,113
Father Hood,PG-13,Adventure,4.9,Darrell Roodt,Scott Spencer,Patrick Swayze,95
Father of the Bride,PG,Comedy,6.5,Charles Shyer,Frances Goodrich,Steve Martin,105
Father of the Bride Part II,PG,Comedy,6.1,Charles Shyer,Albert Hackett,Steve Martin,106
Fathers' Day,PG-13,Comedy,5.3,Ivan Reitman,Francis Veber,Robin Williams,98
Fatso,PG,Comedy,6.3,Anne Bancroft,Anne Bancroft,Dom DeLuise,93
Fear,R,Drama,6.2,James Foley,Christopher Crowe,Mark Wahlberg,97
Fear and Loathing in Las Vegas,R,Adventure,7.6,Terry Gilliam,Hunter S. Thompson,Johnny Depp,118
Fear of a Black Hat,R,Comedy,7.2,Rusty Cundieff,Rusty Cundieff,Larry B. Scott,88
Feardotcom,R,Crime,3.4,William Malone,Moshe Diamant,Stephen Dorff,101
Fearless,R,Drama,7.1,Peter Weir,Rafael Yglesias,Jeff Bridges,122
Fearless,PG-13,Action,7.6,Ronny Yu,Chris Chow,Jet Li,104
Feast,R,Action,6.3,John Gulager,Patrick Melton,Navi Rawat,95
Feast of Love,R,Drama,6.6,Robert Benton,Allison Burnett,Morgan Freeman,97
Feds,PG-13,Comedy,5.4,Daniel Goldberg,Len Blum,Rebecca De Mornay,82
Feeling Minnesota,R,Comedy,5.4,Steven Baigelman,Steven Baigelman,Keanu Reeves,99
Felon,R,Thriller,7.4,Ric Roman Waugh,Ric Roman Waugh,Stephen Dorff,104
Female Perversions,R,Drama,5.4,Susan Streitfeld,Louise J. Kaplan,Tilda Swinton,120
Femme Fatale,R,Crime,6.2,Brian De Palma,Brian De Palma,Rebecca Romijn,114
Fences,PG-13,Drama,7.2,Denzel Washington,August Wilson,Denzel Washington,139
Ferdinand,PG,Animation,6.7,Carlos Saldanha,Robert L. Baird,John Cena,108
FernGully: The Last Rainforest,G,Animation,6.5,Bill Kroyer,Jim Cox,Samantha Mathis,76
Ferris Bueller's Day Off,PG-13,Comedy,7.8,John Hughes,John Hughes,Matthew Broderick,103
Fever Pitch,R,Drama,4.1,Richard Brooks,Richard Brooks,Ryan O'Neal,96
Fever Pitch,R,Comedy,6.7,David Evans,Nick Hornby,Colin Firth,102
Fever Pitch,PG-13,Comedy,6.2,Bobby Farrelly,Lowell Ganz,Drew Barrymore,104
Field of Dreams,PG,Drama,7.5,Phil Alden Robinson,W.P. Kinsella,Kevin Costner,107
Fierce Creatures,PG-13,Comedy,6.4,Fred Schepisi,John Cleese,John Cleese,93
Fierce People,R,Drama,6.5,Griffin Dunne,Dirk Wittenborn,Diane Lane,107
Fifty Shades Darker,R,Drama,4.6,James Foley,Niall Leonard,Dakota Johnson,118
Fifty Shades Freed,R,Drama,4.5,James Foley,Niall Leonard,Dakota Johnson,105
Fifty Shades of Black,R,Comedy,3.5,Michael Tiddes,Marlon Wayans,Marlon Wayans,92
Fifty Shades of Grey,R,Drama,4.1,Sam Taylor-Johnson,Kelly Marcel,Dakota Johnson,125
Fight Club,R,Drama,8.8,David Fincher,Chuck Palahniuk,Brad Pitt,139
Fighting,PG-13,Action,5.6,Dito Montiel,Robert Munic,Channing Tatum,105
Fighting Back,R,Action,6.1,Lewis Teague,Thomas Hedley Jr.,Tom Skerritt,98
Fighting with My Family,PG-13,Biography,7.1,Stephen Merchant,Stephen Merchant,Dwayne Johnson,108
Filth,R,Comedy,7.1,Jon S. Baird,Jon S. Baird,James McAvoy,97
Final Analysis,R,Drama,5.9,Phil Joanou,Robert Berger,Richard Gere,124
Final Destination,R,Horror,6.7,James Wong,Glen Morgan,Devon Sawa,98
Final Destination 2,R,Horror,6.2,David R. Ellis,J. Mackye Gruber,A.J. Cook,90
Final Destination 3,R,Horror,5.8,James Wong,Glen Morgan,Mary Elizabeth Winstead,93
Final Destination 5,R,Action,5.8,Steven Quale,Eric Heisserer,Nicholas D'Agosto,92
Final Fantasy: The Spirits Within,PG-13,Animation,6.4,Hironobu Sakaguchi,Hironobu Sakaguchi,Alec Baldwin,106
Find Me Guilty,R,Biography,7,Sidney Lumet,Sidney Lumet,Vin Diesel,125
Finders Keepers,R,Comedy,5.4,Richard Lester,Charles Dennis,Michael O'Keefe,96
Finding Dory,PG,Animation,7.3,Andrew Stanton,Andrew Stanton,Ellen DeGeneres,97
Finding Forrester,PG-13,Drama,7.3,Gus Van Sant,Mike Rich,Sean Connery,136
Finding Nemo,G,Animation,8.1,Andrew Stanton,Andrew Stanton,Albert Brooks,100
Finding Neverland,PG,Biography,7.7,Marc Forster,Allan Knee,Johnny Depp,106
Fire and Ice,PG,Animation,6.6,Ralph Bakshi,Ralph Bakshi,Randy Norton,81
Fire Birds,PG-13,Action,4.8,David Green,Step Tyner,Nicolas Cage,85
Fire Down Below,R,Action,5.1,Félix Enríquez Alcalá,Jeb Stuart,Steven Seagal,105
Fire in the Sky,PG-13,Biography,6.5,Robert Lieberman,Travis Walton,D.B. Sweeney,109
Fire with Fire,PG-13,Drama,6.5,Duncan Gibbins,Bill Phillips,Craig Sheffer,103
Fired Up!,PG-13,Comedy,6.1,Will Gluck,Will Gluck,Eric Christian Olsen,90
Firefox,PG,Action,6,Clint Eastwood,Alex Lasker,Clint Eastwood,136
Firelight,R,Drama,7.2,William Nicholson,William Nicholson,Sophie Marceau,103
Fireproof,PG,Drama,6.5,Alex Kendrick,Alex Kendrick,Kirk Cameron,122
Firestarter,R,Action,6.1,Mark L. Lester,Stephen King,Drew Barrymore,114
Firestorm,R,Action,4.8,Dean Semler,Chris Soth,Howie Long,89
Firewalker,PG,Action,5.1,J. Lee Thompson,Robert Gosnell,Chuck Norris,105
Firewall,PG-13,Action,5.8,Richard Loncraine,Joe Forte,Harrison Ford,105
Fireworks,Unrated,Crime,7.8,Takeshi Kitano,Takeshi Kitano,Takeshi Kitano,103
First Blood,R,Action,7.7,Ted Kotcheff,David Morrell,Sylvester Stallone,93
First Daughter,PG,Comedy,5.1,Forest Whitaker,Jessica Bendinger,Katie Holmes,106
First Family,R,Comedy,4.3,Buck Henry,Buck Henry,Bob Newhart,97
First Kid,PG,Comedy,5.3,David Mickey Evans,Tim Kelleher,Sinbad,101
First Knight,PG-13,Action,6,Jerry Zucker,Lorne Cameron,Sean Connery,134
First Man,PG-13,Biography,7.3,Damien Chazelle,Josh Singer,Ryan Gosling,141
First Reformed,R,Drama,7.1,Paul Schrader,Paul Schrader,Ethan Hawke,113
First Strike,PG-13,Action,6.6,Stanley Tong,Greg Mellott,Jackie Chan,107
Firstborn,R,Drama,6.2,Michael Apted,Ron Koslow,Teri Garr,103
Fish Tank,Unrated,Drama,7.3,Andrea Arnold,Andrea Arnold,Katie Jarvis,123
Fist Fight,R,Comedy,5.6,Richie Keen,Van Robichaux,Ice Cube,91
Five Corners,R,Crime,6.2,Tony Bill,John Patrick Shanley,Jodie Foster,90
Five Days One Summer,PG,Drama,6.1,Fred Zinnemann,Michael Austin,Sean Connery,108
Five Feet Apart,PG-13,Drama,7.2,Justin Baldoni,Mikki Daughtry,Haley Lu Richardson,116
Five Times Two,R,Drama,6.6,François Ozon,François Ozon,Valeria Bruni Tedeschi,90
Flags of Our Fathers,R,Action,7.1,Clint Eastwood,William Broyles Jr.,Ryan Phillippe,135
Flashback,R,Action,6.2,Franco Amurri,David Loughery,Dennis Hopper,108
Flashdance,R,Drama,6.2,Adrian Lyne,Thomas Hedley Jr.,Jennifer Beals,95
Flashpoint,R,Action,6.4,William Tannen,George LaFountaine,Kris Kristofferson,93
Flatliners,R,Drama,6.6,Joel Schumacher,Peter Filardi,Kiefer Sutherland,115
Flatliners,PG-13,Drama,5.2,Niels Arden Oplev,Peter Filardi,Elliot Page,109
Flawless,R,Comedy,6.5,Joel Schumacher,Joel Schumacher,Robert De Niro,112
Fled,R,Action,5.4,Kevin Hooks,Preston A. Whitmore II,Laurence Fishburne,98
Flesh and Bone,R,Drama,6.2,Steve Kloves,Steve Kloves,Dennis Quaid,126
Flesh+Blood,R,Adventure,6.7,Paul Verhoeven,Gerard Soeteman,Rutger Hauer,126
Fletch,PG,Comedy,6.9,Michael Ritchie,Gregory McDonald,Chevy Chase,98
Fletch Lives,PG,Comedy,6.1,Michael Ritchie,Gregory McDonald,Chevy Chase,95
Flicka,PG,Adventure,6.1,Michael Mayer,Mark Rosenthal,Alison Lohman,95
Flight,R,Drama,7.3,Robert Zemeckis,John Gatins,Denzel Washington,138
Flight of the Intruder,PG-13,Action,5.8,John Milius,Stephen Coonts,Danny Glover,115
Flight of the Navigator,PG,Adventure,6.9,Randal Kleiser,Mark H. Baker,Joey Cramer,90
Flight of the Phoenix,PG-13,Action,6.1,John Moore,Lukas Heller,Dennis Quaid,113
Flightplan,PG-13,Drama,6.3,Robert Schwentke,Peter A. Dowling,Jodie Foster,98
Flipped,PG,Comedy,7.7,Rob Reiner,Rob Reiner,Madeline Carroll,90
Flipper,PG,Adventure,5.3,Alan Shapiro,Ricou Browning,Paul Hogan,95
Flirting,R,Drama,7.2,John Duigan,John Duigan,Noah Taylor,99
Flirting with Disaster,R,Comedy,6.7,David O. Russell,David O. Russell,Ben Stiller,92
Florence Foster Jenkins,PG-13,Biography,6.8,Stephen Frears,Nicholas Martin,Meryl Streep,111
Flower,R,Comedy,6,Max Winkler,Alex McAulay,Zoey Deutch,90
Flowers in the Attic,PG-13,Drama,5.7,Jeffrey Bloom,Virginia C. Andrews,Louise Fletcher,93
Flubber,PG,Comedy,5.3,Les Mayfield,Samuel W. Taylor,Robin Williams,93
Fluke,PG,Drama,6.7,Carlo Carlei,James Herbert,Matthew Modine,96
Flushed Away,PG,Animation,6.6,David Bowers,Dick Clement,Hugh Jackman,85
Fly Away Home,PG,Adventure,6.8,Carroll Ballard,Bill Lishman,Jeff Daniels,107
Flyboys,PG-13,Action,6.5,Tony Bill,Phil Sears,James Franco,140
Focus,R,Comedy,6.6,Glenn Ficarra,Glenn Ficarra,Will Smith,105
Folks!,PG-13,Comedy,5.7,Ted Kotcheff,Robert Klane,Tom Selleck,107
Following,R,Crime,7.5,Christopher Nolan,Christopher Nolan,Jeremy Theobald,69
Fool for Love,R,Drama,6.1,Robert Altman,Sam Shepard,Sam Shepard,106
Fool's Gold,PG-13,Action,5.7,Andy Tennant,John Claflin,Matthew McConaughey,112
Fools Rush In,PG-13,Comedy,6.1,Andy Tennant,Joan Taylor,Matthew Perry,109
Footloose,PG,Drama,6.6,Herbert Ross,Dean Pitchford,Kevin Bacon,107
Footloose,PG-13,Comedy,5.9,Craig Brewer,Dean Pitchford,Kenny Wormald,113
"For a Good Time, Call...",R,Comedy,6,Jamie Travis,Katie Anne Naylon,Ari Graynor,85
For a Lost Soldier,Unrated,Drama,7.5,Roeland Kerbosch,Don Bloch,Maarten Smit,92
For Colored Girls,R,Drama,6.1,Tyler Perry,Tyler Perry,Janet Jackson,133
For Keeps?,PG-13,Comedy,5.9,John G. Avildsen,Tim Kazurinsky,Molly Ringwald,90
For Love of the Game,PG-13,Drama,6.6,Sam Raimi,Michael Shaara,Kevin Costner,137
For Love or Money,PG,Comedy,6.2,Barry Sonnenfeld,Mark Rosenthal,Michael J. Fox,96
For Richer or Poorer,PG-13,Comedy,5.8,Bryan Spicer,Jana Howington,Tim Allen,115
For the Boys,R,Comedy,6.4,Mark Rydell,Neal Jimenez,Bette Midler,138
For Your Consideration,PG-13,Comedy,6.3,Christopher Guest,Christopher Guest,Catherine O'Hara,86
For Your Eyes Only,PG,Action,6.7,John Glen,Richard Maibaum,Roger Moore,127
Force Majeure,R,Comedy,7.3,Ruben Östlund,Ruben Östlund,Johannes Kuhnke,120
Forced Vengeance,R,Action,5.6,James Fargo,Franklin Thompson,Chuck Norris,90
Forces of Nature,PG-13,Comedy,5.4,Bronwen Hughes,Marc Lawrence,Sandra Bullock,105
Ford v Ferrari,PG-13,Action,8.1,James Mangold,Jez Butterworth,Matt Damon,152
Forever My Girl,PG,Comedy,6.7,Bethany Ashton Wolf,Bethany Ashton Wolf,Alex Roe,108
Forever Young,Unrated,Drama,6.7,David Drury,Ray Connolly,James Aubrey,84
Forever Young,PG,Drama,6.3,Steve Miner,J.J. Abrams,Mel Gibson,102
Forget Paris,PG-13,Comedy,6.5,Billy Crystal,Billy Crystal,Billy Crystal,101
Forgetting Sarah Marshall,R,Comedy,7.1,Nicholas Stoller,Jason Segel,Kristen Bell,111
Formula 51,R,Action,6.3,Ronny Yu,Stel Pavlou,Samuel L. Jackson,93
Forrest Gump,PG-13,Drama,8.8,Robert Zemeckis,Winston Groom,Tom Hanks,142
Fort Apache the Bronx,R,Crime,6.7,Daniel Petrie,Heywood Gould,Paul Newman,125
Fortress,R,Action,5.9,Stuart Gordon,Troy Neighbors,Christopher Lambert,95
Four Adventures of Reinette and Mirabelle,Unrated,Comedy,7.6,Éric Rohmer,Éric Rohmer,Joëlle Miquel,99
Four Brothers,R,Action,6.8,John Singleton,David Elliot,Mark Wahlberg,109
Four Christmases,PG-13,Comedy,5.7,Seth Gordon,Matt Allen,Reese Witherspoon,88
Four Lions,R,Comedy,7.3,Christopher Morris,Christopher Morris,Will Adamsdale,97
Four Rooms,R,Comedy,6.8,Directors,Allison Anders,Tim Roth,98
Four Weddings and a Funeral,R,Comedy,7.1,Mike Newell,Richard Curtis,Hugh Grant,117
Foxcatcher,R,Biography,7,Bennett Miller,E. Max Frye,Steve Carell,134
Foxfire,R,Drama,6.2,Annette Haywood-Carter,Joyce Carol Oates,Hedy Burress,102
Fracture,R,Crime,7.2,Gregory Hoblit,Daniel Pyne,Anthony Hopkins,113
Frailty,R,Crime,7.2,Bill Paxton,Brent Hanley,Bill Paxton,100
Frances,R,Biography,7.3,Graeme Clifford,Eric Bergren,Jessica Lange,140
Frances Ha,R,Comedy,7.5,Noah Baumbach,Noah Baumbach,Greta Gerwig,86
Frank,R,Comedy,7,Lenny Abrahamson,Jon Ronson,Michael Fassbender,95
Frankenhooker,R,Comedy,6.2,Frank Henenlotter,Robert Martin,James Lorinz,85
Frankenweenie,PG,Animation,6.9,Tim Burton,Leonard Ripps,Winona Ryder,87
Frankie and Johnny,R,Comedy,6.7,Garry Marshall,Terrence McNally,Al Pacino,118
Frantic,R,Crime,6.9,Roman Polanski,Roman Polanski,Harrison Ford,120
Fraternity Vacation,R,Comedy,5.3,James Frawley,Lindsay Harrison,Stephen Geoffreys,94
Freaked,PG-13,Comedy,6.4,Tom Stern,Tim Burns,Brooke Shields,80
Freaky Friday,PG,Comedy,6.2,Mark Waters,Mary Rodgers,Jamie Lee Curtis,97
Fred Claus,PG,Comedy,5.6,David Dobkin,Dan Fogelman,Vince Vaughn,116
Freddy Got Fingered,R,Comedy,4.6,Tom Green,Tom Green,Tom Green,87
Freddy vs. Jason,R,Action,5.7,Ronny Yu,Wes Craven,Robert Englund,97
Freddy's Dead: The Final Nightmare,R,Fantasy,4.9,Rachel Talalay,Wes Craven,Robert Englund,89
Free Fire,R,Action,6.4,Ben Wheatley,Amy Jump,Sharlto Copley,91
Free State of Jones,R,Action,6.9,Gary Ross,Gary Ross,Matthew McConaughey,139
Free Willy,PG,Adventure,6,Simon Wincer,Keith Walker,Jason James Richter,112
Free Willy 2: The Adventure Home,PG,Adventure,5.1,Dwight H. Little,Keith Walker,Jason James Richter,95
Free Willy 3: The Rescue,PG,Adventure,4.8,Sam Pillsbury,Keith Walker,Jason James Richter,86
Freedom Writers,PG-13,Biography,7.6,Richard LaGravenese,Richard LaGravenese,Hilary Swank,123
Freejack,R,Action,5.4,Geoff Murphy,Robert Sheckley,Emilio Estevez,110
Freeway,R,Comedy,6.8,Matthew Bright,Matthew Bright,Reese Witherspoon,102
French Kiss,PG-13,Comedy,6.6,Lawrence Kasdan,Adam Brooks,Meg Ryan,111
Frequency,PG-13,Crime,7.3,Gregory Hoblit,Toby Emmerich,Dennis Quaid,118
Fresh,R,Crime,7.6,Boaz Yakin,Boaz Yakin,Sean Nelson,114
Fresh Horses,PG-13,Drama,5.1,David Anspaugh,Larry Ketron,Molly Ringwald,105
Frida,R,Biography,7.4,Julie Taymor,Hayden Herrera,Salma Hayek,123
Friday,R,Comedy,7.3,F. Gary Gray,Ice Cube,Ice Cube,91
Friday After Next,R,Comedy,5.8,Marcus Raboy,Ice Cube,Ice Cube,85
Friday Night Lights,PG-13,Action,7.2,Peter Berg,Buzz Bissinger,Billy Bob Thornton,118
Friday the 13th,R,Horror,6.4,Sean S. Cunningham,Victor Miller,Betsy Palmer,95
Friday the 13th,R,Horror,5.5,Marcus Nispel,Victor Miller,Jared Padalecki,97
Friday the 13th Part 2,R,Horror,6.1,Steve Miner,Ron Kurz,Betsy Palmer,87
Friday the 13th Part III,R,Horror,5.7,Steve Miner,Martin Kitrosser,Dana Kimmell,95
Friday the 13th Part VI: Jason Lives,R,Horror,6,Tom McLoughlin,Tom McLoughlin,Thom Mathews,86
Friday the 13th Part VII: the New Blood,R,Horror,5.3,John Carl Buechler,Daryl Haney,Terry Kiser,88
Friday the 13th Part VIII: Jason Takes Manhattan,R,Adventure,4.6,Rob Hedden,Rob Hedden,Jensen Daggett,100
Friday the 13th: A New Beginning,R,Horror,4.8,Danny Steinmann,Martin Kitrosser,Melanie Kinnaman,92
Friday the 13th: the Final Chapter,R,Horror,6,Joseph Zito,Victor Miller,Erich Anderson,91
Fried Green Tomatoes,PG-13,Drama,7.7,Jon Avnet,Fannie Flagg,Kathy Bates,130
Friends with Benefits,R,Comedy,6.5,Will Gluck,Keith Merryman,Mila Kunis,109
Friends with Money,R,Comedy,5.8,Nicole Holofcener,Nicole Holofcener,Jennifer Aniston,88
Fright Night,R,Fantasy,7.1,Tom Holland,Tom Holland,Chris Sarandon,106
Fright Night,R,Comedy,6.4,Craig Gillespie,Marti Noxon,Anton Yelchin,106
Fright Night Part 2,R,Comedy,5.9,Tommy Lee Wallace,Tom Holland,William Ragsdale,104
From Beyond,R,Horror,6.7,Stuart Gordon,H.P. Lovecraft,Jeffrey Combs,85
From Dusk Till Dawn,R,Action,7.2,Robert Rodriguez,Robert Kurtzman,Harvey Keitel,108
From Hell,R,Horror,6.8,Albert Hughes,Alan Moore,Johnny Depp,122
From Justin to Kelly,PG,Comedy,2.1,Robert Iscove,Kim Fuller,Kelly Clarkson,81
From Paris with Love,R,Action,6.4,Pierre Morel,Adi Hasak,John Travolta,92
From the Hip,PG,Comedy,6.2,Bob Clark,Bob Clark,Judd Nelson,111
From Up on Poppy Hill,PG,Animation,7.4,Gorô Miyazaki,Tetsurô Sayama,Sarah Bolger,91
Frost/Nixon,R,Biography,7.7,Ron Howard,Peter Morgan,Frank Langella,122
Frozen,R,Adventure,6.1,Adam Green,Adam Green,Shawn Ashmore,93
Frozen,PG,Animation,7.4,Chris Buck,Jennifer Lee,Kristen Bell,102
Frozen II,PG,Animation,6.8,Chris Buck,Jennifer Lee,Kristen Bell,103
Frozen River,R,Crime,7.1,Courtney Hunt,Courtney Hunt,Melissa Leo,97
Fruitvale Station,R,Biography,7.5,Ryan Coogler,Ryan Coogler,Michael B. Jordan,85
Full Frontal,R,Comedy,4.7,Steven Soderbergh,Coleman Hough,Julia Roberts,101
Full Metal Jacket,R,Drama,8.3,Stanley Kubrick,Stanley Kubrick,Matthew Modine,116
Full Moon in Paris,R,Comedy,7.4,Éric Rohmer,Éric Rohmer,Pascale Ogier,101
Fun Size,PG-13,Adventure,5.4,Josh Schwartz,Max Werner,Victoria Justice,86
Fun with Dick and Jane,PG-13,Comedy,6.2,Dean Parisot,Judd Apatow,Jim Carrey,90
Funny About Love,PG-13,Comedy,4.9,Leonard Nimoy,Bob Greene,Gene Wilder,101
Funny Farm,PG,Comedy,6.2,George Roy Hill,Jay Cronley,Chevy Chase,101
Funny Games,R,Crime,6.6,Michael Haneke,Michael Haneke,Naomi Watts,111
Funny People,R,Comedy,6.3,Judd Apatow,Judd Apatow,Adam Sandler,146
Fur: an Imaginary Portrait of Diane Arbus,R,Biography,6.4,Steven Shainberg,Erin Cressida Wilson,Nicole Kidman,122
Furious 7,PG-13,Action,7.1,James Wan,Chris Morgan,Vin Diesel,137
Furry Vengeance,PG,Comedy,3.8,Roger Kumble,Michael Carnes,Brendan Fraser,92
Fury,R,Action,7.6,David Ayer,David Ayer,Brad Pitt,134
G.I. Jane,R,Action,6,Ridley Scott,Danielle Alexandra,Demi Moore,125
G.I. Joe: Retaliation,PG-13,Action,5.8,Jon M. Chu,Rhett Reese,Dwayne Johnson,110
G.I. Joe: The Rise of Cobra,PG-13,Action,5.8,Stephen Sommers,Stuart Beattie,Dennis Quaid,118
Galaxy Quest,PG,Adventure,7.3,Dean Parisot,David Howard,Tim Allen,102
Gallipoli,PG,Adventure,7.4,Peter Weir,David Williamson,Mel Gibson,110
Game Night,R,Action,6.9,John Francis Daley,Mark Perez,Jason Bateman,100
Gamer,R,Action,5.8,Mark Neveldine,Mark Neveldine,Gerard Butler,95
Gandahar,PG,Animation,7.1,René Laloux,René Laloux,Glenn Close,78
Gandhi,PG,Biography,8,Richard Attenborough,John Briley,Ben Kingsley,191
Gang Related,R,Action,6.5,Jim Kouf,Jim Kouf,Jim Belushi,111
Gangs of New York,R,Crime,7.5,Martin Scorsese,Jay Cocks,Leonardo DiCaprio,167
Gangster No. 1,R,Crime,6.7,Paul McGuigan,Johnny Ferguson,Malcolm McDowell,103
Gangster Squad,R,Action,6.7,Ruben Fleischer,Will Beall,Sean Penn,113
Garbo Talks,PG-13,Comedy,6.4,Sidney Lumet,Larry Grusin,Anne Bancroft,103
Garden State,R,Comedy,7.4,Zach Braff,Zach Braff,Zach Braff,102
Gardens of Stone,R,Drama,6.4,Francis Ford Coppola,Nicholas Proffitt,James Caan,111
Garfield,PG,Animation,5,Peter Hewitt,Jim Davis,Breckin Meyer,80
Garfield: A Tail of Two Kitties,PG,Animation,5,Tim Hill,Joel Cohen,Breckin Meyer,82
Gas Food Lodging,R,Drama,6.6,Allison Anders,Allison Anders,Brooke Adams,101
Gate 2: The Trespassers,R,Fantasy,4.8,Tibor Takács,Michael Nankin,Louis Tripp,93
Gattaca,PG-13,Drama,7.8,Andrew Niccol,Andrew Niccol,Ethan Hawke,106
Gemini Man,PG-13,Action,5.7,Ang Lee,David Benioff,Will Smith,117
Genius,PG-13,Biography,6.6,Michael Grandage,John Logan,Colin Firth,104
Gentlemen Broncos,PG-13,Adventure,6.2,Jared Hess,Jared Hess,Michael Angarano,90
Geolkapseu,Unrated,Action,5.9,Jung Da-Won,Jung Da-Won,Mi-ran Ra,107
George of the Jungle,PG,Action,5.5,Sam Weisman,Jay Ward,Brendan Fraser,92
Georgia,R,Drama,6.6,Ulu Grosbard,Barbara Turner,Jennifer Jason Leigh,115
Georgia Rule,R,Comedy,5.8,Garry Marshall,Mark Andrus,Jane Fonda,113
Geostorm,PG-13,Action,5.3,Dean Devlin,Dean Devlin,Gerard Butler,109
Geronimo: An American Legend,PG-13,Drama,6.5,Walter Hill,John Milius,Jason Patric,115
Gerry,R,Adventure,6.1,Gus Van Sant,Casey Affleck,Casey Affleck,103
Get Carter,R,Action,5.2,Stephen Kay,Ted Lewis,Sylvester Stallone,102
Get Crazy,R,Comedy,6.7,Allan Arkush,Danny Opatoshu,Malcolm McDowell,92
Get Hard,R,Comedy,6,Etan Cohen,Jay Martel,Will Ferrell,100
Get Him to the Greek,R,Comedy,6.3,Nicholas Stoller,Nicholas Stoller,Jonah Hill,109
Get on Up,PG-13,Biography,6.9,Tate Taylor,Jez Butterworth,Chadwick Boseman,139
Get Out,R,Horror,7.7,Jordan Peele,Jordan Peele,Daniel Kaluuya,104
Get Over It,PG-13,Comedy,5.7,Tommy O'Haver,R. Lee Fleming Jr.,Kirsten Dunst,87
Get Rich or Die Tryin',R,Biography,5.4,Jim Sheridan,Terence Winter,50 Cent,117
Get Shorty,R,Comedy,6.9,Barry Sonnenfeld,Elmore Leonard,Gene Hackman,105
Get Smart,PG-13,Action,6.5,Peter Segal,Tom J. Astle,Steve Carell,110
Getaway,PG-13,Action,4.4,Courtney Solomon,Sean Finegan,Ethan Hawke,90
Getting Even with Dad,PG,Comedy,4.8,Howard Deutch,Tom S. Parker,Macaulay Culkin,109
Getting It on,R,Comedy,3.7,William Olsen,William Olsen,Martin Yost,96
Getting It Right,R,Comedy,6.4,Randal Kleiser,Elizabeth Jane Howard,Jesse Birdsall,102
Gettysburg,PG,Drama,7.6,Ron Maxwell,Michael Shaara,Tom Berenger,271
G-Force,PG,Animation,5.1,Hoyt Yeatman,Cormac Wibberley,Will Arnett,88
Ghajini,Unrated,Action,7.3,A.R. Murugadoss,Piyush Mishra,Aamir Khan,186
Ghost,PG-13,Drama,7.1,Jerry Zucker,Bruce Joel Rubin,Patrick Swayze,127
Ghost Dad,PG,Comedy,4.4,Sidney Poitier,Brent Maddock,Bill Cosby,83
Ghost Dog: The Way of the Samurai,R,Action,7.5,Jim Jarmusch,Jim Jarmusch,Forest Whitaker,116
Ghost in the Machine,R,Horror,4.6,Rachel Talalay,William Davies,Karen Allen,95
Ghost in the Shell,PG-13,Action,6.3,Rupert Sanders,Shirow Masamune,Scarlett Johansson,107
Ghost in the Shell 2: Innocence,PG-13,Animation,7.5,Mamoru Oshii,Shirow Masamune,Akio Ôtsuka,100
Ghost Rider,PG-13,Action,5.3,Mark Steven Johnson,Mark Steven Johnson,Nicolas Cage,110
Ghost Rider: Spirit of Vengeance,PG-13,Action,4.3,Mark Neveldine,Scott M. Gimple,Nicolas Cage,96
Ghost Ship,R,Horror,5.5,Steve Beck,Mark Hanlon,Julianna Margulies,91
Ghost Stories,Unrated,Drama,6.4,Jeremy Dyson,Jeremy Dyson,Samuel Bottomley,98
Ghost Story,R,Drama,6.3,John Irvin,Peter Straub,Craig Wasson,110
Ghost Town,PG-13,Comedy,6.7,David Koepp,David Koepp,Ricky Gervais,102
Ghost World,R,Comedy,7.3,Terry Zwigoff,Daniel Clowes,Steve Buscemi,111
